population_group,measure,location,sex,age,cause,metric,val
All Population,Prevalence,Jordan,Both,80-84 years,Alzheimer's disease and other dementias,Number,8685.290933130227
All Population,Prevalence,Jordan,Male,80-84 years,Alzheimer's disease and other dementias,Percent,0.1142505424452567
All Population,Prevalence,Jordan,Female,80-84 years,Alzheimer's disease and other dementias,Percent,0.1442758856773852
All Population,Prevalence,Jordan,Both,80-84 years,Alzheimer's disease and other dementias,Percent,0.1288496991373282
All Population,Prevalence,Jordan,Male,85-89 years,Alzheimer's disease and other dementias,Number,2187.3654666719226
All Population,Prevalence,Jordan,Female,85-89 years,Alzheimer's disease and other dementias,Number,2745.0046170131213
All Population,Prevalence,Jordan,Both,85-89 years,Alzheimer's disease and other dementias,Number,4932.370083685045
All Population,Prevalence,Jordan,Male,85-89 years,Alzheimer's disease and other dementias,Percent,0.1702277143975643
All Population,Prevalence,Jordan,Female,85-89 years,Alzheimer's disease and other dementias,Percent,0.2048939274910518
All Population,Prevalence,Jordan,Both,85-89 years,Alzheimer's disease and other dementias,Percent,0.1879224187767322
All Population,Prevalence,Jordan,Male,90-94 years,Alzheimer's disease and other dementias,Number,701.5403376356012
All Population,Prevalence,Jordan,Female,90-94 years,Alzheimer's disease and other dementias,Number,917.8893176546748
All Population,Prevalence,Jordan,Both,90-94 years,Alzheimer's disease and other dementias,Number,1619.4296552902756
All Population,Prevalence,Jordan,Male,90-94 years,Alzheimer's disease and other dementias,Percent,0.220582489
All Population,Prevalence,Jordan,Female,90-94 years,Alzheimer's disease and other dementias,Percent,0.2597850745382257
All Population,Prevalence,Jordan,Both,90-94 years,Alzheimer's disease and other dementias,Percent,0.2412140113680484
All Population,Prevalence,Jordan,Male,60+ years,Alzheimer's disease and other dementias,Number,15697.189786272576
All Population,Prevalence,Jordan,Female,60+ years,Alzheimer's disease and other dementias,Number,19559.98016576537
All Population,Prevalence,Jordan,Both,60+ years,Alzheimer's disease and other dementias,Number,35257.169952037926
All Population,Prevalence,Jordan,Male,60+ years,Alzheimer's disease and other dementias,Percent,0.034656261
All Population,Prevalence,Jordan,Female,60+ years,Alzheimer's disease and other dementias,Percent,0.046391211
All Population,Prevalence,Jordan,Both,60+ years,Alzheimer's disease and other dementias,Percent,0.040313689
All Population,Prevalence,Jordan,Male,95+ years,Alzheimer's disease and other dementias,Number,130.37587768054516
All Population,Prevalence,Jordan,Female,95+ years,Alzheimer's disease and other dementias,Number,273.0596646
All Population,Prevalence,Jordan,Both,95+ years,Alzheimer's disease and other dementias,Number,403.4355422900934
All Population,Prevalence,Jordan,Male,95+ years,Alzheimer's disease and other dementias,Percent,0.2589646324884564
All Population,Prevalence,Jordan,Female,95+ years,Alzheimer's disease and other dementias,Percent,0.3029216709648115
All Population,Prevalence,Jordan,Both,95+ years,Alzheimer's disease and other dementias,Percent,0.2871691924953665
All Population,Prevalence,Palestine,Male,60-64 years,Alzheimer's disease and other dementias,Number,502.3296698324229
All Population,Prevalence,Palestine,Female,60-64 years,Alzheimer's disease and other dementias,Number,571.6646754676793
All Population,Prevalence,Palestine,Both,60-64 years,Alzheimer's disease and other dementias,Number,1073.994345300102
All Population,Prevalence,Palestine,Male,60-64 years,Alzheimer's disease and other dementias,Percent,0.008780642
All Population,Prevalence,Palestine,Female,60-64 years,Alzheimer's disease and other dementias,Percent,0.010386873
