population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Mongolia,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,8415.431068600517,9683.273968425152,7241.414058541282
All Population,Prevalence,Mongolia,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.024733113425298,0.0285855824306341,0.0214016925870812
All Population,Prevalence,Mongolia,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0334873265708789,0.0387039113259875,0.0287320893883256
All Population,Prevalence,Mongolia,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0299286990516012,0.0344376784706347,0.0257530193365849
All Population,Prevalence,Chile,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,60920.88913747237,71296.89482082512,51811.0533925386
All Population,Prevalence,Chile,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,110094.1210308896,129195.92829445453,93658.82851246205
All Population,Prevalence,Chile,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,171015.01016836186,199029.6271311998,145683.5871407795
All Population,Prevalence,Chile,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0381449504396498,0.0446409702285681,0.0324399240459174
All Population,Prevalence,Chile,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0554702538355611,0.0650967765080779,0.0471892409343791
All Population,Prevalence,Chile,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0477451386374009,0.0555682735536299,0.0406726765616209
All Population,Prevalence,Samoa,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,275.5210170700644,318.7396713503905,228.0498125218918
All Population,Prevalence,Samoa,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,418.1227537749794,481.4992167379486,342.04295809359246
All Population,Prevalence,Samoa,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,693.6437708450438,798.946948554007,571.2759966930561
All Population,Prevalence,Samoa,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0268741588270268,0.0310887503835885,0.022242901869977
All Population,Prevalence,Samoa,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0393358666857285,0.0452999818130418,0.0321789130017734
All Population,Prevalence,Samoa,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0332175897677283,0.0382620258049671,0.0273598805664806
All Population,Prevalence,Bolivia (Plurinational State of),Male,60+ years,Alzheimer's disease and other dementias,Number,2023,11489.290076630876,13370.566236349376,9717.191591058048
All Population,Prevalence,Bolivia (Plurinational State of),Female,60+ years,Alzheimer's disease and other dementias,Number,2023,19996.76978350031,23268.265414322435,17199.359612178716
All Population,Prevalence,Bolivia (Plurinational State of),Both,60+ years,Alzheimer's disease and other dementias,Number,2023,31486.0598601312,36608.663993170354,27072.76513751387
All Population,Prevalence,Bolivia (Plurinational State of),Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0215199607588437,0.0250438802236827,0.0182009431277993
All Population,Prevalence,Bolivia (Plurinational State of),Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0310967706255562,0.0361843193136672,0.026746454750046
